uid,stress_level,time,date,total_unlocks,total_scr_time,avg_scr_time,night_unlocks,total_convos,total_convo_time,avg_convo_time,night_convos,total_dark,total_dark_time,avg_dark_time,night_dark
u00,3,1367296021,2013-04-29,3,382.4666666666667,127.4888888888889,1,32,561.8333333333334,17.557291666666668,7,4,542.55,135.6375,1
u00,4,1368585696,2013-05-14,3,1031.5,343.8333333333333,1,32,239.71666666666667,7.491145833333333,9,2,652.5333333333333,326.26666666666665,2
u00,1,1368036985,2013-05-08,4,903.9666666666667,225.99166666666667,1,36,261.43333333333334,7.262037037037037,4,4,709.2,177.3,1
u00,5,1368036984,2013-05-08,4,903.9666666666667,225.99166666666667,1,36,261.43333333333334,7.262037037037037,4,4,709.2,177.3,1
u00,4,1368071042,2013-05-08,4,903.9666666666667,225.99166666666667,1,36,261.43333333333334,7.262037037037037,4,4,709.2,177.3,1
u00,1,1365187409,2013-04-05,4,891.4666666666667,222.86666666666667,2,28,582.8666666666667,20.816666666666666,7,3,322.98333333333335,107.66111111111111,1
u00,1,1367886692,2013-05-06,5,736.6,147.32,2,65,493.4666666666667,7.591794871794872,1,6,962.7333333333333,160.45555555555555,0
u00,2,1365174158,2013-04-05,4,891.4666666666667,222.86666666666667,2,28,582.8666666666667,20.816666666666666,7,3,322.98333333333335,107.66111111111111,1
u00,1,1364572642,2013-03-29,6,674.7166666666667,112.45277777777778,1,32,479.1166666666667,14.972395833333334,15,6,819.2,136.53333333333333,1
u00,4,1364504894,2013-03-28,1,81.4,81.4,0,21,348.3666666666667,16.58888888888889,5,1,82.38333333333334,82.38333333333334,0
u00,1,1364590457,2013-03-29,6,674.7166666666667,112.45277777777778,1,32,479.1166666666667,14.972395833333334,15,6,819.2,136.53333333333333,1
u00,4,1364598486,2013-03-29,6,674.7166666666667,112.45277777777778,1,32,479.1166666666667,14.972395833333334,15,6,819.2,136.53333333333333,1
u00,4,1364617164,2013-03-29,6,674.7166666666667,112.45277777777778,1,32,479.1166666666667,14.972395833333334,15,6,819.2,136.53333333333333,1
u00,4,1364752485,2013-03-31,6,1226.65,204.4416666666667,3,22,597.6833333333334,27.167424242424246,7,3,519.75,173.25,0
u00,5,1364770527,2013-03-31,6,1226.65,204.4416666666667,3,22,597.6833333333334,27.167424242424246,7,3,519.75,173.25,0
u00,2,1364949608,2013-04-02,6,656.7166666666667,109.45277777777778,1,38,452.31666666666666,11.903070175438597,4,5,658.2833333333333,131.65666666666667,0
u00,4,1364509152,2013-03-28,1,81.4,81.4,0,21,348.3666666666667,16.58888888888889,5,1,82.38333333333334,82.38333333333334,0
u00,1,1364437527,2013-03-27,5,590.7,118.14000000000001,2,21,382.85,18.23095238095238,2,4,556.5333333333333,139.13333333333333,1
u00,2,1364498754,2013-03-28,1,81.4,81.4,0,21,348.3666666666667,16.58888888888889,5,1,82.38333333333334,82.38333333333334,0
u00,2,1364496192,2013-03-28,1,81.4,81.4,0,21,348.3666666666667,16.58888888888889,5,1,82.38333333333334,82.38333333333334,0
u00,3,1364498245,2013-03-28,1,81.4,81.4,0,21,348.3666666666667,16.58888888888889,5,1,82.38333333333334,82.38333333333334,0
u00,4,1365035249,2013-04-03,6,725.7,120.95,1,33,526.75,15.962121212121213,8,7,920.2333333333333,131.46190476190478,1
u00,1,1364941061,2013-04-02,6,656.7166666666667,109.45277777777778,1,38,452.31666666666666,11.903070175438597,4,5,658.2833333333333,131.65666666666667,0
u00,1,1365006419,2013-04-03,6,725.7,120.95,1,33,526.75,15.962121212121213,8,7,920.2333333333333,131.46190476190478,1
u00,1,1368650985,2013-05-15,3,255.78333333333333,85.2611111111111,0,49,628.5333333333333,12.827210884353741,10,3,260.01666666666665,86.67222222222222,0
u00,4,1368670294,2013-05-15,3,255.78333333333333,85.2611111111111,0,49,628.5333333333333,12.827210884353741,10,3,260.01666666666665,86.67222222222222,0
u00,4,1368819907,2013-05-17,2,617.8499999999999,308.92499999999995,1,20,584.8666666666667,29.243333333333332,5,1,433.18333333333334,433.18333333333334,1
u00,1,1369328795,2013-05-23,3,439.85,146.61666666666667,0,33,351.43333333333334,10.64949494949495,5,1,64.8,64.8,0
u00,1,1369379334,2013-05-24,1,90.48333333333333,90.48333333333333,0,39,263.5833333333333,6.758547008547008,9,1,95.81666666666666,95.81666666666666,0
u00,1,1369336750,2013-05-23,3,439.85,146.61666666666667,0,33,351.43333333333334,10.64949494949495,5,1,64.8,64.8,0
u00,2,1369454414,2013-05-24,1,90.48333333333333,90.48333333333333,0,39,263.5833333333333,6.758547008547008,9,1,95.81666666666666,95.81666666666666,0
u00,1,1369430770,2013-05-24,1,90.48333333333333,90.48333333333333,0,39,263.5833333333333,6.758547008547008,9,1,95.81666666666666,95.81666666666666,0
u00,1,1369462456,2013-05-25,1,129.35,129.35,1,43,459.6166666666667,10.688759689922481,21,1,71.23333333333333,71.23333333333333,0
u00,2,1369497236,2013-05-25,1,129.35,129.35,1,43,459.6166666666667,10.688759689922481,21,1,71.23333333333333,71.23333333333333,0
u00,3,1369499950,2013-05-25,1,129.35,129.35,1,43,459.6166666666667,10.688759689922481,21,1,71.23333333333333,71.23333333333333,0
u00,3,1366100129,2013-04-16,5,669.4000000000001,133.88000000000002,3,32,397.5833333333333,12.424479166666666,10,5,722.0333333333333,144.40666666666667,2
u00,4,1368756027,2013-05-16,2,613.0,306.5,2,20,468.53333333333336,23.42666666666667,5,1,81.03333333333333,81.03333333333333,1
u00,4,1364522754,2013-03-28,1,81.4,81.4,0,21,348.3666666666667,16.58888888888889,5,1,82.38333333333334,82.38333333333334,0
u00,4,1368844157,2013-05-17,2,617.8499999999999,308.92499999999995,1,20,584.8666666666667,29.243333333333332,5,1,433.18333333333334,433.18333333333334,1
u00,1,1369022636,2013-05-19,3,303.3666666666667,101.12222222222222,0,26,138.16666666666666,5.314102564102564,6,2,216.38333333333333,108.19166666666666,0
u00,1,1365547428,2013-04-09,3,662.0666666666666,220.68888888888887,1,26,363.25,13.971153846153847,7,3,747.1166666666667,249.0388888888889,1
u00,2,1365807220,2013-04-12,4,553.3166666666666,138.32916666666665,0,35,525.8333333333334,15.023809523809526,6,5,691.1166666666667,138.22333333333333,0
u00,4,1366297660,2013-04-18,3,311.8833333333333,103.96111111111111,0,16,297.51666666666665,18.594791666666666,1,3,486.4,162.13333333333333,0
u01,1,1364586325,2013-03-29,6,1167.4,194.5666666666667,4,45,631.1166666666667,14.024814814814816,19,5,947.8499999999999,189.57,3
u01,2,1364784354,2013-03-31,4,1543.6666666666665,385.91666666666663,1,36,389.6166666666667,10.822685185185186,18,3,656.9166666666666,218.9722222222222,1
u01,2,1365562762,2013-04-09,3,548.5333333333333,182.84444444444443,2,31,475.6666666666667,15.344086021505378,17,4,536.55,134.1375,2
u01,1,1365633195,2013-04-10,6,1211.2,201.86666666666667,1,41,676.3166666666667,16.495528455284553,24,6,1274.8,212.46666666666667,1
u01,1,1365483001,2013-04-08,5,1129.3999999999999,225.87999999999997,1,52,688.1666666666666,13.233974358974358,18,5,1042.7166666666667,208.54333333333335,1
u01,1,1365369714,2013-04-07,2,600.0666666666666,300.0333333333333,1,32,478.56666666666666,14.955208333333333,20,1,414.85,414.85,0
u01,4,1365142122,2013-04-05,8,1405.8166666666666,175.72708333333333,5,41,578.1833333333334,14.102032520325205,15,4,370.45000000000005,92.61250000000001,0
u01,4,1365211601,2013-04-05,8,1405.8166666666666,175.72708333333333,5,41,578.1833333333334,14.102032520325205,15,4,370.45000000000005,92.61250000000001,0
u01,1,1364755767,2013-03-31,4,1543.6666666666665,385.91666666666663,1,36,389.6166666666667,10.822685185185186,18,3,656.9166666666666,218.9722222222222,1
u01,4,1365060515,2013-04-04,2,512.2333333333333,256.1166666666667,1,42,701.3333333333334,16.6984126984127,12,4,673.7666666666667,168.44166666666666,1
u01,1,1364968984,2013-04-03,6,1407.3333333333333,234.55555555555554,1,26,648.4,24.93846153846154,14,5,605.7,121.14000000000001,0
u01,5,1365241170,2013-04-06,5,914.6500000000001,182.93,2,33,583.5833333333334,17.684343434343436,15,3,740.85,246.95000000000002,1
u01,4,1364514789,2013-03-28,3,272.45,90.81666666666666,0,38,394.53333333333336,10.382456140350877,14,4,463.91666666666663,115.97916666666666,1
u01,3,1367214608,2013-04-29,5,1289.7833333333333,257.95666666666665,3,4,46.96666666666667,11.741666666666667,4,7,1219.45,174.20714285714286,3
u01,1,1364682446,2013-03-30,6,1418.4499999999998,236.4083333333333,3,24,427.96666666666664,17.831944444444442,10,5,1076.0,215.2,2
u01,1,1366086242,2013-04-15,4,958.4833333333333,239.62083333333334,0,44,519.6333333333333,11.809848484848485,16,1,115.5,115.5,0
u01,1,1365645796,2013-04-10,6,1211.2,201.86666666666667,1,41,676.3166666666667,16.495528455284553,24,6,1274.8,212.46666666666667,1
u01,1,1365734659,2013-04-11,7,1587.5666666666666,226.7952380952381,2,34,522.25,15.360294117647058,16,6,1668.05,278.0083333333333,3
u01,4,1365893676,2013-04-13,4,499.18333333333334,124.79583333333333,0,33,565.4333333333333,17.13434343434343,16,2,422.51666666666665,211.25833333333333,0
u01,1,1365981255,2013-04-14,4,448.90000000000003,112.22500000000001,2,29,388.23333333333335,13.38735632183908,14,1,544.55,544.55,0
u01,5,1364603578,2013-03-29,6,1167.4,194.5666666666667,4,45,631.1166666666667,14.024814814814816,19,5,947.8499999999999,189.57,3
u01,1,1366171307,2013-04-16,2,500.05,250.025,0,47,416.8333333333333,8.868794326241135,26,1,71.9,71.9,0
u01,4,1366331562,2013-04-18,7,1198.8666666666666,171.26666666666665,3,38,564.6333333333333,14.858771929824561,9,4,637.0833333333334,159.27083333333334,2
u01,4,1366440292,2013-04-20,2,351.9666666666667,175.98333333333335,0,42,280.06666666666666,6.6682539682539685,20,2,451.71666666666664,225.85833333333332,1
u01,2,1367135266,2013-04-28,3,640.3333333333334,213.44444444444446,1,35,530.1,15.145714285714286,20,1,184.55,184.55,0
u01,2,1367185489,2013-04-28,3,640.3333333333334,213.44444444444446,1,35,530.1,15.145714285714286,20,1,184.55,184.55,0
u01,1,1366999402,2013-04-26,4,1216.3333333333335,304.08333333333337,1,61,620.6833333333333,10.175136612021857,21,4,973.4333333333333,243.35833333333332,1
u01,2,1367177642,2013-04-28,3,640.3333333333334,213.44444444444446,1,35,530.1,15.145714285714286,20,1,184.55,184.55,0
u01,1,1366077144,2013-04-15,4,958.4833333333333,239.62083333333334,0,44,519.6333333333333,11.809848484848485,16,1,115.5,115.5,0
u02,4,1366451303,2013-04-20,4,697.75,174.4375,2,26,466.7,17.95,10,1,131.55,131.55,1
u02,1,1368002429,2013-05-08,1,72.83333333333333,72.83333333333333,0,15,130.04999999999998,8.669999999999998,14,2,497.31666666666666,248.65833333333333,1
u02,2,1365038425,2013-04-03,3,518.2666666666667,172.75555555555556,1,15,62.05,4.136666666666667,14,2,665.7333333333333,332.8666666666667,1
u02,4,1364421902,2013-03-27,1,515.8166666666667,515.8166666666667,1,4,12.3,3.075,4,2,629.4,314.7,2
u02,4,1364601238,2013-03-29,3,670.0999999999999,223.36666666666665,2,17,297.85,17.52058823529412,3,4,792.8333333333334,198.20833333333334,2
u02,4,1364682454,2013-03-30,3,424.26666666666665,141.42222222222222,1,27,412.83333333333337,15.290123456790125,5,4,759.05,189.7625,1
u02,5,1364768711,2013-03-31,1,490.5,490.5,1,19,476.51666666666665,25.07982456140351,8,2,560.1,280.05,1
u02,1,1364968822,2013-04-03,3,518.2666666666667,172.75555555555556,1,15,62.05,4.136666666666667,14,2,665.7333333333333,332.8666666666667,1
u02,1,1365451253,2013-04-08,3,306.51666666666665,102.17222222222222,1,31,424.68333333333334,13.699462365591398,18,4,737.7333333333333,184.43333333333334,2
u02,4,1365300736,2013-04-06,3,239.56666666666666,79.85555555555555,1,32,423.8833333333333,13.246354166666666,8,3,755.6333333333333,251.87777777777777,2
u02,1,1365386564,2013-04-07,2,496.4666666666667,248.23333333333335,1,22,232.96666666666667,10.58939393939394,17,2,672.9333333333334,336.4666666666667,2
u02,2,1365979252,2013-04-14,3,503.26666666666665,167.75555555555556,0,30,399.93333333333334,13.331111111111111,16,6,753.7333333333333,125.62222222222222,3
u02,1,1365494863,2013-04-09,6,922.1333333333333,153.6888888888889,3,20,415.15,20.7575,4,5,738.4166666666666,147.68333333333334,3
u02,1,1365891495,2013-04-13,2,579.6,289.8,1,20,445.35,22.267500000000002,5,1,115.75,115.75,1
u02,1,1365142522,2013-04-05,1,143.76666666666668,143.76666666666668,0,21,245.33333333333331,11.682539682539682,16,4,858.8333333333334,214.70833333333334,1
u02,1,1365717644,2013-04-11,3,642.1500000000001,214.05000000000004,3,26,515.6333333333333,19.83205128205128,10,3,713.3,237.76666666666665,3
u02,1,1367825698,2013-05-06,4,750.3833333333333,187.59583333333333,1,24,177.0,7.375,9,3,667.7333333333333,222.57777777777778,2
u02,1,1366056794,2013-04-15,4,298.3666666666667,74.59166666666667,2,35,403.8333333333333,11.538095238095238,7,6,949.6166666666667,158.26944444444445,4
u02,1,1367561918,2013-05-03,2,600.0333333333333,300.01666666666665,1,13,144.08333333333331,11.083333333333332,7,3,738.1666666666666,246.05555555555554,2
u02,2,1367294841,2013-04-29,2,468.1833333333333,234.09166666666664,1,31,389.2166666666667,12.555376344086023,12,3,533.55,177.85,2
u02,2,1367208294,2013-04-28,3,456.6666666666667,152.22222222222223,0,11,145.03333333333333,13.184848484848485,2,4,772.1,193.025,2
u02,1,1366704064,2013-04-23,3,654.2166666666667,218.07222222222222,1,33,539.2666666666667,16.34141414141414,12,3,723.45,241.15,2
u02,2,1367193693,2013-04-28,3,456.6666666666667,152.22222222222223,0,11,145.03333333333333,13.184848484848485,2,4,772.1,193.025,2
u02,4,1366257612,2013-04-17,3,414.6,138.20000000000002,0,25,552.9833333333333,22.119333333333334,9,3,719.8,239.9333333333333,2
u02,4,1366185893,2013-04-17,3,414.6,138.20000000000002,0,25,552.9833333333333,22.119333333333334,9,3,719.8,239.9333333333333,2
u02,2,1366103819,2013-04-16,4,500.1333333333333,125.03333333333333,1,25,471.0833333333333,18.843333333333334,14,4,768.85,192.2125,2
u02,2,1366085883,2013-04-15,4,298.3666666666667,74.59166666666667,2,35,403.8333333333333,11.538095238095238,7,6,949.6166666666667,158.26944444444445,4
u02,1,1366913718,2013-04-25,3,240.96666666666664,80.32222222222221,1,16,228.26666666666668,14.266666666666667,9,4,670.6166666666667,167.65416666666667,3
u03,4,1364410075,2013-03-27,7,1025.6833333333334,146.5261904761905,2,14,245.01666666666665,17.501190476190477,0,5,845.7666666666667,169.15333333333334,2
u03,5,1364410076,2013-03-27,7,1025.6833333333334,146.5261904761905,2,14,245.01666666666665,17.501190476190477,0,5,845.7666666666667,169.15333333333334,2
u03,1,1364429275,2013-03-27,7,1025.6833333333334,146.5261904761905,2,14,245.01666666666665,17.501190476190477,0,5,845.7666666666667,169.15333333333334,2
u03,5,1365153860,2013-04-05,2,587.0666666666666,293.5333333333333,1,9,177.68333333333334,19.742592592592594,1,2,203.06666666666666,101.53333333333333,0
u03,3,1367208006,2013-04-28,2,254.38333333333333,127.19166666666666,0,14,43.0,3.0714285714285716,14,2,259.0,129.5,0
u03,4,1367266699,2013-04-29,5,913.2666666666667,182.65333333333334,2,8,88.56666666666668,11.070833333333335,4,3,582.95,194.3166666666667,1
u03,3,1367193635,2013-04-28,2,254.38333333333333,127.19166666666666,0,14,43.0,3.0714285714285716,14,2,259.0,129.5,0
u03,2,1367179227,2013-04-28,2,254.38333333333333,127.19166666666666,0,14,43.0,3.0714285714285716,14,2,259.0,129.5,0
u03,1,1366740447,2013-04-23,5,1620.7333333333333,324.14666666666665,2,11,38.65,3.5136363636363637,2,2,819.45,409.725,1
u03,2,1366564808,2013-04-21,5,1082.2,216.44,2,46,261.9166666666667,5.6938405797101455,25,3,377.9,125.96666666666665,0
u03,2,1366217270,2013-04-17,1,524.5666666666667,524.5666666666667,1,14,91.3,6.521428571428571,2,1,67.16666666666667,67.16666666666667,0
u03,4,1365976809,2013-04-14,2,163.26666666666665,81.63333333333333,0,1,8.566666666666666,8.566666666666666,1,3,423.23333333333335,141.07777777777778,0
u03,1,1365497167,2013-04-09,2,1074.6166666666668,537.3083333333334,1,3,3.166666666666667,1.0555555555555556,0,2,204.5333333333333,102.26666666666665,0
u03,5,1367300082,2013-04-30,4,1591.3666666666668,397.8416666666667,2,13,66.05,5.0807692307692305,2,4,977.6833333333334,244.42083333333335,1
u04,4,1364423252,2013-03-27,5,897.3166666666666,179.4633333333333,1,41,419.03333333333336,10.220325203252033,2,5,889.6333333333333,177.92666666666668,1
u04,3,1364871206,2013-04-01,5,1306.2333333333333,261.24666666666667,2,44,398.53333333333336,9.057575757575759,11,7,1285.2166666666667,183.60238095238097,3
u04,1,1364682927,2013-03-30,6,1484.3,247.38333333333333,2,33,289.5833333333333,8.775252525252524,9,4,656.6833333333333,164.17083333333332,1
u04,2,1365003955,2013-04-03,7,1352.4166666666665,193.20238095238093,2,50,484.31666666666666,9.686333333333334,14,5,1073.5,214.7,1
u04,1,1364437349,2013-03-27,5,897.3166666666666,179.4633333333333,1,41,419.03333333333336,10.220325203252033,2,5,889.6333333333333,177.92666666666668,1
u04,1,1364598093,2013-03-29,6,920.8833333333333,153.48055555555555,3,39,467.51666666666665,11.987606837606837,12,3,625.1333333333333,208.37777777777777,1
u04,1,1364569822,2013-03-29,6,920.8833333333333,153.48055555555555,3,39,467.51666666666665,11.987606837606837,12,3,625.1333333333333,208.37777777777777,1
u04,1,1365294144,2013-04-06,6,1287.9666666666667,214.66111111111113,1,62,629.7333333333333,10.156989247311829,11,4,1006.2666666666667,251.56666666666666,1
u04,1,1365353389,2013-04-07,4,807.5666666666666,201.89166666666665,2,36,477.9666666666667,13.276851851851852,16,3,776.9833333333333,258.99444444444447,2
u04,2,1365175514,2013-04-05,7,1396.1333333333332,199.44761904761904,3,48,385.2,8.025,12,5,1032.9833333333333,206.59666666666666,2
u04,1,1365213537,2013-04-05,7,1396.1333333333332,199.44761904761904,3,48,385.2,8.025,12,5,1032.9833333333333,206.59666666666666,2
u04,1,1365386588,2013-04-07,4,807.5666666666666,201.89166666666665,2,36,477.9666666666667,13.276851851851852,16,3,776.9833333333333,258.99444444444447,2
u04,2,1366099532,2013-04-16,2,429.28333333333336,214.64166666666668,2,60,574.9833333333333,9.583055555555555,23,2,428.6333333333333,214.31666666666666,2
u04,1,1365520678,2013-04-09,4,1208.0166666666667,302.00416666666666,1,49,366.2,7.4734693877551015,10,5,1103.0666666666666,220.61333333333332,1
u04,3,1365721600,2013-04-11,5,673.7833333333333,134.75666666666666,0,53,485.0,9.150943396226415,19,4,494.65,123.6625,0
u04,2,1365991302,2013-04-14,4,1671.0166666666667,417.75416666666666,2,30,403.1666666666667,13.43888888888889,4,4,1310.75,327.6875,1
u04,3,1366084885,2013-04-15,4,1046.8833333333332,261.7208333333333,1,51,427.73333333333335,8.386928104575164,6,7,1055.9333333333334,150.84761904761905,2
u04,3,1366067037,2013-04-15,4,1046.8833333333332,261.7208333333333,1,51,427.73333333333335,8.386928104575164,6,7,1055.9333333333334,150.84761904761905,2
u04,1,1366186602,2013-04-17,5,1189.3333333333335,237.8666666666667,2,43,506.65,11.782558139534883,16,5,987.7666666666667,197.55333333333334,2
u04,1,1366275750,2013-04-18,6,1105.5666666666666,184.2611111111111,1,48,349.9,7.289583333333333,19,6,1002.4833333333333,167.08055555555555,1
u04,1,1365089901,2013-04-04,3,1045.45,348.48333333333335,1,53,400.56666666666666,7.557861635220125,13,4,889.0166666666667,222.25416666666666,1
u04,1,1366614533,2013-04-22,5,1039.0833333333333,207.81666666666666,1,49,528.85,10.792857142857143,19,5,946.7833333333333,189.35666666666665,2
u04,1,1366609455,2013-04-22,5,1039.0833333333333,207.81666666666666,1,49,528.85,10.792857142857143,19,5,946.7833333333333,189.35666666666665,2
u04,1,1366609455,2013-04-22,5,1039.0833333333333,207.81666666666666,1,49,528.85,10.792857142857143,19,5,946.7833333333333,189.35666666666665,2
u04,3,1366862709,2013-04-24,5,1347.4833333333333,269.49666666666667,2,43,310.51666666666665,7.221317829457364,14,5,1169.2166666666667,233.84333333333333,2
u04,3,1367000252,2013-04-26,4,976.4333333333333,244.10833333333332,2,44,371.06666666666666,8.433333333333334,20,4,1187.2666666666669,296.8166666666667,2
u04,3,1367286464,2013-04-29,5,1099.7333333333333,219.94666666666666,2,59,489.1666666666667,8.290960451977401,13,4,761.7333333333333,190.43333333333334,1
u04,3,1367183650,2013-04-28,7,1460.6833333333334,208.66904761904763,2,28,423.78333333333336,15.135119047619048,6,3,902.6666666666667,300.8888888888889,1
u04,3,1367250838,2013-04-29,5,1099.7333333333333,219.94666666666666,2,59,489.1666666666667,8.290960451977401,13,4,761.7333333333333,190.43333333333334,1
u04,2,1364573027,2013-03-29,6,920.8833333333333,153.48055555555555,3,39,467.51666666666665,11.987606837606837,12,3,625.1333333333333,208.37777777777777,1
u04,3,1367272489,2013-04-29,5,1099.7333333333333,219.94666666666666,2,59,489.1666666666667,8.290960451977401,13,4,761.7333333333333,190.43333333333334,1
u04,1,1367988464,2013-05-07,3,883.8833333333334,294.6277777777778,2,77,510.05,6.624025974025974,29,4,651.9333333333333,162.98333333333332,2
u04,2,1367899398,2013-05-06,8,957.2333333333333,119.65416666666667,2,54,378.2166666666667,7.004012345679013,18,5,834.7833333333333,166.95666666666665,2
u04,2,1367949703,2013-05-07,3,883.8833333333334,294.6277777777778,2,77,510.05,6.624025974025974,29,4,651.9333333333333,162.98333333333332,2
u04,3,1368079040,2013-05-09,5,1517.5333333333333,303.50666666666666,2,41,541.6833333333333,13.211788617886178,13,5,1055.0,211.0,1
u04,3,1366965454,2013-04-26,4,976.4333333333333,244.10833333333332,2,44,371.06666666666666,8.433333333333334,20,4,1187.2666666666669,296.8166666666667,2
u04,1,1364774159,2013-03-31,5,984.2833333333333,196.85666666666665,2,37,438.35,11.847297297297297,16,4,722.1666666666666,180.54166666666666,1
u04,3,1367300942,2013-04-30,5,1118.3166666666666,223.66333333333333,2,78,367.8833333333333,4.716452991452991,21,3,240.38333333333333,80.12777777777778,0
u04,1,1364923438,2013-04-02,6,1066.1666666666665,177.69444444444443,2,36,349.40000000000003,9.705555555555556,13,5,1062.4833333333333,212.49666666666667,1
u04,2,1364948274,2013-04-02,6,1066.1666666666665,177.69444444444443,2,36,349.40000000000003,9.705555555555556,13,5,1062.4833333333333,212.49666666666667,1
u04,1,1364762185,2013-03-31,5,984.2833333333333,196.85666666666665,2,37,438.35,11.847297297297297,16,4,722.1666666666666,180.54166666666666,1
u04,1,1364758399,2013-03-31,5,984.2833333333333,196.85666666666665,2,37,438.35,11.847297297297297,16,4,722.1666666666666,180.54166666666666,1
u05,1,1364713747,2013-03-31,6,1294.1833333333332,215.6972222222222,2,23,384.4166666666667,16.71376811594203,5,3,828.1833333333334,276.06111111111113,1
u05,4,1364681002,2013-03-30,4,1136.6166666666668,284.1541666666667,2,31,498.34999999999997,16.075806451612902,13,3,772.8,257.59999999999997,2
u05,4,1364605380,2013-03-29,4,490.65000000000003,122.66250000000001,0,21,425.6166666666667,20.26746031746032,1,2,372.96666666666664,186.48333333333332,0
u05,1,1364508216,2013-03-28,5,976.0833333333335,195.2166666666667,2,38,385.1,10.13421052631579,6,4,838.2,209.55,3
u05,4,1364501283,2013-03-28,5,976.0833333333335,195.2166666666667,2,38,385.1,10.13421052631579,6,4,838.2,209.55,3
u05,4,1364409301,2013-03-27,5,969.7833333333334,193.95666666666668,1,10,322.7,32.269999999999996,1,3,774.6,258.2,1
u05,5,1364425922,2013-03-27,5,969.7833333333334,193.95666666666668,1,10,322.7,32.269999999999996,1,3,774.6,258.2,1
u05,4,1364415083,2013-03-27,5,969.7833333333334,193.95666666666668,1,10,322.7,32.269999999999996,1,3,774.6,258.2,1
u07,4,1364713715,2013-03-31,7,1108.0,158.28571428571428,3,48,274.01666666666665,5.7086805555555555,20,5,971.8666666666666,194.3733333333333,1
u07,1,1364459763,2013-03-28,3,739.6166666666667,246.5388888888889,2,28,513.25,18.330357142857142,15,1,152.51666666666668,152.51666666666668,0
u07,1,1364493890,2013-03-28,3,739.6166666666667,246.5388888888889,2,28,513.25,18.330357142857142,15,1,152.51666666666668,152.51666666666668,0
u07,4,1364443895,2013-03-27,3,615.7333333333333,205.24444444444444,0,25,479.0833333333333,19.163333333333334,8,3,676.3166666666666,225.43888888888887,0
u07,4,1364513833,2013-03-28,3,739.6166666666667,246.5388888888889,2,28,513.25,18.330357142857142,15,1,152.51666666666668,152.51666666666668,0
u07,1,1364523605,2013-03-28,3,739.6166666666667,246.5388888888889,2,28,513.25,18.330357142857142,15,1,152.51666666666668,152.51666666666668,0
u07,1,1364404685,2013-03-27,3,615.7333333333333,205.24444444444444,0,25,479.0833333333333,19.163333333333334,8,3,676.3166666666666,225.43888888888887,0
u07,4,1364536763,2013-03-29,1,225.9,225.9,0,34,293.6333333333333,8.636274509803922,14,1,225.9,225.9,0
u07,1,1364375862,2013-03-27,3,615.7333333333333,205.24444444444444,0,25,479.0833333333333,19.163333333333334,8,3,676.3166666666666,225.43888888888887,0
u07,4,1364971139,2013-04-03,8,1116.6333333333332,139.57916666666665,2,28,587.3833333333333,20.97797619047619,13,6,965.3666666666667,160.89444444444445,2
